1	0.7678
2	0.3775
3	0.7087
4	0.4975
5	0.6314
6	0.4857
7	0.5756
8	0.59
9	0.3991
10	0.5591
11	0.3555
12	0.625
13	0.3138
14	0.5151
15	0.4648
16	0.5585
17	0.7158
18	0.3471
19	0.4405
20	0.5166
21	0.3646
22	0.7825
23	0.6247
24	0.467
25	0.4911
26	0.3441
27	0.5136
28	0.402
29	0.5814
30	0.531
31	0.5684
32	0.4538
33	0.7121
34	0.7358
35	0.735
36	0.6077
37	0.6974
38	0.5888
39	0.4108
40	0.7005
41	0.5193
42	0.5885
43	0.6436
44	0.603
45	0.508
46	0.2816
47	0.4026
48	0.5001
49	0.3105
50	0.5233
51	0.3699
52	0.4268
53	0.3277
54	0.5457
55	0.6678
56	0.5193
57	0.4143
58	0.4539
59	0.8269
60	0.3914
61	0.3724
62	0.5745
63	0.6375
64	0.4949
65	0.4696
66	0.6838
67	0.1822
68	0.5798
69	0.6169
70	0.6353
71	0.6649
72	0.6331
73	0.5027
74	0.4738
75	0.7449
76	0.3414
77	0.5943
78	0.5471
79	0.7034
80	0.3049
81	0.5919
82	0.2931
83	0.3817
84	0.8502
85	0.3063
86	0.645
87	0.4962
88	0.6349
89	0.3722
90	0.4894
91	0.4492
92	0.4919
93	0.668
94	0.6173
95	0.4318
96	0.3622
97	0.3501
98	0.6801
99	0.6895
100	0.5895
101	0.7027
102	0.4601
103	0.5687
104	0.3783
105	0.5418
106	0.1155
107	0.3688
108	0.5559
109	0.4982
110	0.7074
111	0.2877
112	0.5862
113	0.5368
114	0.5411
115	0.4092
116	0.5354
117	0.6439
118	0.5597
119	0.544
120	0.7273
121	0.5979
122	0.711
123	0.4933
124	0.4836
125	0.6128
126	0.6525
127	0.7308
128	0.3948
129	0.4617
130	0.3304
131	0.5348
132	0.5731
133	0.2427
134	0.5577
135	0.7545
136	0.4331
137	0.6069
138	0.337
139	0.3629
140	0.5471
141	0.5097
142	0.4775
143	0.2406
144	0.4777
145	0.7041
146	0.5574
147	0.516
148	0.418
149	0.4167
150	0.5076
151	0.7375
152	0.2971
153	0.6893
154	0.4354
155	0.2306
156	0.5502
157	0.4015
158	0.3909
159	0.4618
160	0.3256
161	0.466
162	0.3782
163	0.4105
