display(log)
check(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/SIMPLE_2.txt)
model is syntactically correct
data(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/init_1.txt)
this chain contains uninitialized variables
refresh(2000)
gen.inits()
initial values generated, model initialized
update(1000)
set(c)
set(s)
set(t)
set(pcpred)
set(alpha)
thin.updater(1)
update(2000)
coda(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pcpred[7,2]	0.3396	0.01408	4.69E-4	0.3125	0.3398	0.3672	1001	2000
	pcpred[7,3]	0.1749	0.009852	2.502E-4	0.1559	0.1743	0.1954	1001	2000
	pcpred[7,4]	0.2132	0.01092	2.688E-4	0.1921	0.2132	0.2349	1001	2000
	pcpred[7,5]	0.1535	0.01047	2.452E-4	0.1342	0.1533	0.175	1001	2000
	pcpred[7,6]	0.1891	0.01119	2.191E-4	0.1664	0.1891	0.2109	1001	2000
	pcpred[7,7]	0.9397	0.007367	3.498E-4	0.925	0.94	0.9533	1001	2000
	pcpred[7,8]	0.1566	0.01073	2.394E-4	0.1358	0.1567	0.1775	1001	2000
	pcpred[7,9]	0.2525	0.01309	4.491E-4	0.2275	0.2525	0.2775	1001	2000
	pcpred[8,1]	0.8823	0.008878	3.48E-4	0.8646	0.8826	0.8993	1001	2000
	pcpred[8,2]	0.3906	0.014	4.548E-4	0.3633	0.3906	0.4187	1001	2000
	pcpred[8,3]	0.1867	0.01005	2.646E-4	0.1678	0.1868	0.2066	1001	2000
	pcpred[8,4]	0.2336	0.01103	3.425E-4	0.2125	0.2329	0.2559	1001	2000
	pcpred[8,5]	0.1545	0.01025	2.261E-4	0.135	0.1542	0.1758	1001	2000
	pcpred[8,6]	0.1886	0.01147	2.375E-4	0.1664	0.1883	0.2117	1001	2000
	pcpred[8,7]	0.9638	0.005748	3.119E-4	0.9517	0.9642	0.975	1001	2000
	pcpred[8,8]	0.1617	0.01074	2.907E-4	0.1408	0.1617	0.1825	1001	2000
	pcpred[8,9]	0.2512	0.01284	3.808E-4	0.2267	0.2508	0.2767	1001	2000
	pcpred[9,1]	0.9259	0.007185	3.008E-4	0.9111	0.9264	0.9396	1001	2000
	pcpred[9,2]	0.4515	0.01457	4.62E-4	0.4234	0.4516	0.4812	1001	2000
	pcpred[9,3]	0.2026	0.01054	2.541E-4	0.1822	0.2026	0.2237	1001	2000
	pcpred[9,4]	0.2588	0.01146	3.739E-4	0.2375	0.2592	0.2822	1001	2000
	pcpred[9,5]	0.1573	0.01059	2.763E-4	0.1367	0.1567	0.1792	1001	2000
	pcpred[9,6]	0.189	0.01146	2.668E-4	0.1672	0.1891	0.2117	1001	2000
	pcpred[9,7]	0.979	0.004575	3.055E-4	0.97	0.9792	0.9875	1001	2000
	pcpred[9,8]	0.1686	0.01067	2.622E-4	0.1483	0.1683	0.1908	1001	2000
	pcpred[9,9]	0.2519	0.01306	3.265E-4	0.2258	0.2517	0.2767	1001	2000
	pcpred[10,1]	0.9739	0.004774	3.372E-4	0.9646	0.9743	0.9826	1001	2000
	pcpred[10,2]	0.5206	0.01393	4.095E-4	0.493	0.5203	0.5477	1001	2000
	pcpred[10,3]	0.2212	0.01091	3.442E-4	0.2	0.2211	0.2428	1001	2000
	pcpred[10,4]	0.2897	0.01126	3.389E-4	0.2684	0.2895	0.3125	1001	2000
	pcpred[10,5]	0.1598	0.01058	2.953E-4	0.1392	0.16	0.1817	1001	2000
	pcpred[10,6]	0.1895	0.0108	2.752E-4	0.1688	0.1891	0.2117	1001	2000
	pcpred[10,7]	0.99	0.003471	2.814E-4	0.9825	0.99	0.9958	1001	2000
	pcpred[10,8]	0.1773	0.0111	2.457E-4	0.1558	0.1775	0.1983	1001	2000
	pcpred[10,9]	0.2509	0.01301	3.387E-4	0.2258	0.25	0.2783	1001	2000
	pcpred[11,2]	0.5964	0.01409	3.735E-4	0.5688	0.5961	0.6242	1001	2000
	pcpred[11,3]	0.2453	0.01101	3.679E-4	0.223	0.2454	0.2664	1001	2000
	pcpred[11,4]	0.3278	0.01216	3.834E-4	0.3046	0.327	0.3526	1001	2000
	pcpred[11,5]	0.1639	0.0106	2.646E-4	0.1442	0.1633	0.1858	1001	2000
	pcpred[11,6]	0.1905	0.01099	2.865E-4	0.1703	0.1906	0.2125	1001	2000
	pcpred[11,8]	0.187	0.01131	2.836E-4	0.165	0.1875	0.2092	1001	2000
	pcpred[11,9]	0.2511	0.01338	3.973E-4	0.2242	0.2508	0.2775	1001	2000
	pcpred[12,2]	0.6753	0.01362	3.795E-4	0.6492	0.675	0.7023	1001	2000
	pcpred[12,3]	0.2736	0.01163	3.299E-4	0.2507	0.273	0.2974	1001	2000
	pcpred[12,4]	0.3726	0.01264	4.477E-4	0.3487	0.3724	0.3974	1001	2000
	pcpred[12,5]	0.1678	0.01078	2.813E-4	0.1475	0.1683	0.1883	1001	2000
	pcpred[12,6]	0.1912	0.01103	2.079E-4	0.1695	0.1906	0.2125	1001	2000
	pcpred[12,8]	0.1997	0.01159	2.773E-4	0.1767	0.1992	0.2233	1001	2000
	pcpred[12,9]	0.2514	0.01306	4.555E-4	0.2267	0.2508	0.2775	1001	2000
	pcpred[13,2]	0.7541	0.01204	2.518E-4	0.7297	0.7539	0.7781	1001	2000
	pcpred[13,3]	0.3081	0.01213	3.966E-4	0.2849	0.3079	0.3329	1001	2000
	pcpred[13,4]	0.4262	0.01282	3.752E-4	0.4013	0.4263	0.4513	1001	2000
	pcpred[13,5]	0.1727	0.01109	2.819E-4	0.1517	0.1725	0.195	1001	2000
	pcpred[13,6]	0.1923	0.01113	2.634E-4	0.1703	0.193	0.2141	1001	2000
	pcpred[13,8]	0.2135	0.01192	3.115E-4	0.19	0.2133	0.2367	1001	2000
	pcpred[13,9]	0.2512	0.01264	3.537E-4	0.2275	0.2508	0.2767	1001	2000
