display(log)
check(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/SIMPLE_2R.txt)
model is syntactically correct
data(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/inits1.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(10)
set(c)
set(s)
set(t)
set(pcpred)
set(alpha)
set(deviance)
dic.set()
update(10)
coda(*,C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pcpred[29,9]	0.2508	0.01876	0.008376	0.215	0.2533	0.2758	11	10
	pcpred[30,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[30,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[30,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[30,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[30,5]	0.8874	0.005839	0.002053	0.88	0.8875	0.8975	11	10
	pcpred[30,6]	0.239	0.009013	0.004493	0.2234	0.2438	0.2523	11	10
	pcpred[30,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[30,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[30,9]	0.2569	0.009502	0.002569	0.2467	0.2567	0.2783	11	10
	pcpred[31,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[31,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[31,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[31,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[31,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[31,6]	0.2542	0.01332	0.007437	0.2281	0.2547	0.2727	11	10
	pcpred[31,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[31,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[31,9]	0.2551	0.01498	0.004619	0.2367	0.2517	0.2817	11	10
	pcpred[32,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[32,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[32,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[32,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[32,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[32,6]	0.2623	0.01448	0.003423	0.2367	0.2648	0.2906	11	10
	pcpred[32,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[32,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[32,9]	0.251	0.01203	0.003384	0.2258	0.2508	0.2733	11	10
	pcpred[33,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[33,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[33,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[33,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[33,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[33,6]	0.2682	0.01223	0.00355	0.2531	0.2664	0.2875	11	10
	pcpred[33,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[33,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[33,9]	0.2595	0.01474	0.002932	0.2317	0.2592	0.2842	11	10
	pcpred[34,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[34,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[34,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[34,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[34,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[34,6]	0.277	0.01113	0.003368	0.2625	0.2781	0.3031	11	10
	pcpred[34,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[34,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[34,9]	0.2649	0.01544	0.007751	0.2458	0.2675	0.2883	11	10
	pcpred[35,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[35,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[35,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[35,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[35,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[35,6]	0.2905	0.009779	0.00326	0.2781	0.2875	0.307	11	10
	pcpred[35,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[35,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[35,9]	0.2652	0.01289	3.629E-4	0.2417	0.2717	0.2833	11	10
	pcpred[36,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[36,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[36,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[36,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[36,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[36,6]	0.31	0.01033	0.002728	0.293	0.3141	0.3242	11	10
	pcpred[36,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[36,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[36,9]	0.2623	0.01343	0.006217	0.2333	0.2625	0.2833	11	10
	pcpred[37,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[37,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[37,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[37,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[37,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[37,6]	0.3457	0.01497	0.00788	0.3273	0.3438	0.3766	11	10
	pcpred[37,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[37,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[37,9]	0.2695	0.01491	0.004501	0.25	0.2683	0.295	11	10
	pcpred[38,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[38,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[38,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[38,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[38,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[38,6]	0.3798	0.01254	9.419E-4	0.3641	0.3742	0.4023	11	10
	pcpred[38,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[38,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[38,9]	0.2729	0.01348	0.007702	0.2483	0.2742	0.2933	11	10
	pcpred[39,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[39,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[39,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[39,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[39,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[39,6]	0.469	0.01182	0.004279	0.4484	0.4703	0.4891	11	10
	pcpred[39,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[39,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[39,9]	0.2832	0.01576	0.007585	0.2508	0.2867	0.3083	11	10
	pcpred[40,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[40,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[40,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[40,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[40,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[40,6]	0.7668	0.01442	0.005398	0.7453	0.768	0.7914	11	10
	pcpred[40,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[40,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[40,9]	0.2857	0.01312	0.006382	0.2642	0.2875	0.31	11	10
	pcpred[41,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[41,9]	0.2804	0.01208	0.003991	0.255	0.2858	0.2958	11	10
	pcpred[42,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[42,9]	0.2893	0.01618	0.004943	0.2725	0.2908	0.3283	11	10
	pcpred[43,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[43,9]	0.295	0.01564	0.00665	0.2692	0.2975	0.3233	11	10
	pcpred[44,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[44,9]	0.2977	0.01364	0.005673	0.2792	0.2967	0.3208	11	10
	pcpred[45,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[45,9]	0.3097	0.01603	0.006022	0.2817	0.3142	0.3358	11	10
	pcpred[46,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[46,9]	0.3184	0.01265	0.002591	0.2967	0.3175	0.345	11	10
	pcpred[47,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[47,9]	0.348	0.0123	0.002291	0.3333	0.3475	0.3758	11	10
	pcpred[48,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[48,9]	0.3554	0.01115	0.005819	0.3342	0.3617	0.3683	11	10
	pcpred[49,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[49,9]	0.4337	0.0181	0.006649	0.3992	0.4308	0.4642	11	10
	pcpred[50,1]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,2]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,3]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,4]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,5]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,6]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,7]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,8]	-999.0	0.0	3.162E-11	-999.0	-999.0	-999.0	11	10
	pcpred[50,9]	0.6574	0.02156	0.0111	0.6308	0.6525	0.6875	11	10
	s	9.755	0.02395	0.01209	9.704	9.767	9.78	11	10
	t[1]	0.6241	0.001312	5.735E-4	0.6212	0.6242	0.6262	11	10
	t[2]	0.6182	9.987E-4	3.168E-4	0.6161	0.6182	0.6199	11	10
	t[3]	0.6123	8.054E-4	1.137E-4	0.6111	0.6123	0.6135	11	10
	t[4]	0.6123	8.054E-4	1.137E-4	0.6111	0.6123	0.6135	11	10
	t[5]	0.6004	0.001039	5.111E-4	0.5988	0.6008	0.6026	11	10
	t[6]	0.5886	0.001735	0.001036	0.5863	0.5882	0.5921	11	10
dic.stats()

DIC
Dbar = post.mean of -2logL; Dhat = -2LogL at post.mean of stochastic nodes
	Dbar	Dhat	pD	DIC	
k	13007.900	13004.600	3.382	13011.300	
total	13007.900	13004.600	3.382	13011.300	
history(*)

History

save(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/log.odc)
save(C:/Documents and Settings/ewagenmakers/Desktop/temp/BayesBook/log.txt)
