display(log)
check(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/NumberConcept_1.txt)
model is syntactically correct
data(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/init_1.txt)
this chain contains uninitialized variables
refresh(1)
gen.inits()
initial values generated, model initialized
update(1000)
set(pp)
set(ppz)
set(ppb)
set(v)
set(z)
thin.updater(1)
update(2000)
coda(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pp[5,10]	7.76	4.437	0.09226	3.0	6.0	15.0	1001	2000
	pp[5,11]	7.688	4.451	0.08499	3.0	6.0	15.0	1001	2000
	pp[5,12]	7.656	4.44	0.08459	3.0	6.0	15.0	1001	2000
	pp[5,13]	7.862	4.495	0.1113	3.0	6.0	15.0	1001	2000
	pp[5,14]	7.707	4.391	0.1006	3.0	6.0	15.0	1001	2000
	pp[5,15]	7.883	4.479	0.112	3.0	6.0	15.0	1001	2000
	pp[6,1]	1.875	2.69	0.0561	1.0	1.0	15.0	1001	2000
	pp[6,2]	2.773	2.506	0.07052	2.0	2.0	15.0	1001	2000
	pp[6,3]	6.194	4.297	0.09673	3.0	4.0	15.0	1001	2000
	pp[6,4]	7.542	4.445	0.1039	3.0	6.0	15.0	1001	2000
	pp[6,5]	7.322	4.402	0.09961	3.0	5.0	15.0	1001	2000
	pp[6,6]	7.425	4.408	0.1079	3.0	6.0	15.0	1001	2000
	pp[6,7]	7.54	4.471	0.106	3.0	6.0	15.0	1001	2000
	pp[6,8]	7.372	4.416	0.1042	3.0	5.0	15.0	1001	2000
	pp[6,9]	7.351	4.367	0.08803	3.0	5.0	15.0	1001	2000
	pp[6,10]	7.492	4.453	0.1022	3.0	5.0	15.0	1001	2000
	pp[6,11]	7.321	4.383	0.107	3.0	5.0	15.0	1001	2000
	pp[6,12]	7.523	4.497	0.09568	3.0	6.0	15.0	1001	2000
	pp[6,13]	7.379	4.368	0.1084	3.0	5.0	15.0	1001	2000
	pp[6,14]	7.483	4.46	0.1031	3.0	5.0	15.0	1001	2000
	pp[6,15]	7.384	4.43	0.1086	3.0	5.0	15.0	1001	2000
	pp[7,1]	2.037	2.942	0.05956	1.0	1.0	15.0	1001	2000
	pp[7,2]	2.796	2.57	0.05667	2.0	2.0	15.0	1001	2000
	pp[7,3]	7.069	4.413	0.1167	3.0	5.0	15.0	1001	2000
	pp[7,4]	7.21	4.463	0.06989	3.0	5.0	15.0	1001	2000
	pp[7,5]	7.197	4.448	0.09033	3.0	5.0	15.0	1001	2000
	pp[7,6]	7.157	4.489	0.09424	3.0	5.0	15.0	1001	2000
	pp[7,7]	7.286	4.471	0.1127	3.0	5.0	15.0	1001	2000
	pp[7,8]	7.285	4.502	0.09841	3.0	5.0	15.0	1001	2000
	pp[7,9]	7.21	4.434	0.109	3.0	5.0	15.0	1001	2000
	pp[7,10]	7.015	4.36	0.08871	3.0	5.0	15.0	1001	2000
	pp[7,11]	7.173	4.404	0.09775	3.0	5.0	15.0	1001	2000
	pp[7,12]	7.21	4.453	0.1027	3.0	5.0	15.0	1001	2000
	pp[7,13]	7.126	4.407	0.09108	3.0	5.0	15.0	1001	2000
	pp[7,14]	7.173	4.452	0.09712	3.0	5.0	15.0	1001	2000
	pp[7,15]	7.011	4.333	0.08644	3.0	5.0	15.0	1001	2000
	pp[8,1]	1.795	2.479	0.04781	1.0	1.0	10.0	1001	2000
	pp[8,2]	3.845	3.658	0.07297	2.0	2.0	15.0	1001	2000
	pp[8,3]	6.905	4.434	0.1097	2.0	5.0	15.0	1001	2000
	pp[8,4]	6.955	4.438	0.09552	2.0	5.0	15.0	1001	2000
	pp[8,5]	6.973	4.523	0.09084	2.0	5.0	15.0	1001	2000
	pp[8,6]	6.869	4.451	0.1077	2.0	5.0	15.0	1001	2000
	pp[8,7]	6.904	4.45	0.09129	2.0	5.0	15.0	1001	2000
	pp[8,8]	6.861	4.457	0.09859	2.0	5.0	15.0	1001	2000
	pp[8,9]	6.861	4.426	0.09377	2.0	5.0	15.0	1001	2000
	pp[8,10]	6.923	4.394	0.1079	2.0	5.0	15.0	1001	2000
	pp[8,11]	6.897	4.494	0.08004	2.0	5.0	15.0	1001	2000
	pp[8,12]	7.063	4.492	0.1037	2.0	5.0	15.0	1001	2000
	pp[8,13]	6.963	4.458	0.09723	2.0	5.0	15.0	1001	2000
	pp[8,14]	6.769	4.407	0.09137	2.0	5.0	15.0	1001	2000
	pp[8,15]	7.008	4.49	0.09867	2.0	5.0	15.0	1001	2000
	pp[9,1]	1.919	2.847	0.05823	1.0	1.0	15.0	1001	2000
	pp[9,2]	2.794	2.654	0.05644	2.0	2.0	15.0	1001	2000
	pp[9,3]	3.954	2.738	0.07254	3.0	3.0	15.0	1001	2000
	pp[9,4]	7.452	4.281	0.09401	3.0	5.0	15.0	1001	2000
	pp[9,5]	7.965	4.381	0.09607	2.0	6.0	15.0	1001	2000
	pp[9,6]	8.111	4.424	0.1348	3.0	6.0	15.0	1001	2000
	pp[9,7]	8.263	4.397	0.08461	3.0	7.0	15.0	1001	2000
	pp[9,8]	8.072	4.407	0.1034	3.0	6.0	15.0	1001	2000
	pp[9,9]	8.167	4.389	0.1017	3.0	6.0	15.0	1001	2000
	pp[9,10]	7.951	4.362	0.09784	3.0	6.0	15.0	1001	2000
	pp[9,11]	8.261	4.459	0.1069	3.0	6.0	15.0	1001	2000
	pp[9,12]	8.154	4.433	0.1025	3.0	6.0	15.0	1001	2000
	pp[9,13]	8.046	4.329	0.08857	3.0	6.0	15.0	1001	2000
	pp[9,14]	8.004	4.323	0.0799	3.0	6.0	15.0	1001	2000
	pp[9,15]	7.97	4.351	0.09401	3.0	6.0	15.0	1001	2000
	pp[10,1]	1.929	2.862	0.05937	1.0	1.0	15.0	1001	2000
	pp[10,2]	2.8	2.536	0.05356	2.0	2.0	15.0	1001	2000
	pp[10,3]	6.666	4.388	0.1252	3.0	5.0	15.0	1001	2000
	pp[10,4]	7.299	4.38	0.08702	3.0	5.0	15.0	1001	2000
	pp[10,5]	7.487	4.491	0.1078	3.0	6.0	15.0	1001	2000
	pp[10,6]	7.316	4.431	0.1	3.0	5.0	15.0	1001	2000
	pp[10,7]	7.285	4.399	0.1095	3.0	5.0	15.0	1001	2000
	pp[10,8]	7.333	4.43	0.1131	3.0	5.0	15.0	1001	2000
	pp[10,9]	7.246	4.391	0.0919	3.0	5.0	15.0	1001	2000
	pp[10,10]	7.346	4.441	0.1043	3.0	5.0	15.0	1001	2000
	pp[10,11]	7.318	4.416	0.09801	3.0	5.0	15.0	1001	2000
	pp[10,12]	7.433	4.447	0.08914	3.0	5.0	15.0	1001	2000
	pp[10,13]	7.418	4.455	0.09945	3.0	6.0	15.0	1001	2000
	pp[10,14]	7.556	4.57	0.09409	3.0	5.0	15.0	1001	2000
	pp[10,15]	7.247	4.425	0.08658	3.0	5.0	15.0	1001	2000
	pp[11,1]	1.883	2.757	0.06538	1.0	1.0	15.0	1001	2000
	pp[11,2]	2.698	2.381	0.05207	2.0	2.0	14.0	1001	2000
	pp[11,3]	6.25	4.258	0.08385	3.0	4.0	15.0	1001	2000
	pp[11,4]	7.337	4.365	0.09624	3.0	5.0	15.0	1001	2000
	pp[11,5]	7.32	4.36	0.1023	3.0	5.0	15.0	1001	2000
	pp[11,6]	7.61	4.486	0.09173	3.0	6.0	15.0	1001	2000
	pp[11,7]	7.512	4.463	0.0765	3.0	6.0	15.0	1001	2000
	pp[11,8]	7.415	4.41	0.1011	3.0	6.0	15.0	1001	2000
	pp[11,9]	7.282	4.382	0.09924	3.0	5.0	15.0	1001	2000
	pp[11,10]	7.256	4.35	0.08828	3.0	5.0	15.0	1001	2000
	pp[11,11]	7.433	4.444	0.1077	3.0	5.0	15.0	1001	2000
	pp[11,12]	7.286	4.373	0.09826	3.0	5.0	15.0	1001	2000
	pp[11,13]	7.356	4.357	0.08884	3.0	5.0	15.0	1001	2000
	pp[11,14]	7.439	4.382	0.08163	3.0	5.0	15.0	1001	2000
	pp[11,15]	7.431	4.38	0.08888	3.0	6.0	15.0	1001	2000
	pp[12,1]	1.938	2.88	0.06199	1.0	1.0	15.0	1001	2000
	pp[12,2]	2.817	2.669	0.07395	2.0	2.0	15.0	1001	2000
	pp[12,3]	3.713	2.45	0.05713	3.0	3.0	15.0	1001	2000
	pp[12,4]	7.897	4.376	0.09442	3.0	6.0	15.0	1001	2000
	pp[12,5]	8.177	4.427	0.08962	3.0	6.0	15.0	1001	2000
	pp[12,6]	8.107	4.39	0.09416	3.0	6.0	15.0	1001	2000
	pp[12,7]	8.06	4.379	0.09998	3.0	6.0	15.0	1001	2000
	pp[12,8]	8.1	4.385	0.09352	3.0	6.0	15.0	1001	2000
	pp[12,9]	8.058	4.36	0.09635	3.0	6.0	15.0	1001	2000
	pp[12,10]	8.102	4.377	0.08156	3.0	6.0	15.0	1001	2000
	pp[12,11]	8.0	4.351	0.08945	4.0	6.0	15.0	1001	2000
	pp[12,12]	8.074	4.438	0.1231	3.0	6.0	15.0	1001	2000
	pp[12,13]	8.113	4.404	0.08906	2.0	6.0	15.0	1001	2000
	pp[12,14]	7.97	4.312	0.09414	2.0	6.0	15.0	1001	2000
	pp[12,15]	7.878	4.35	0.1029	3.0	6.0	15.0	1001	2000
	pp[13,1]	1.825	2.671	0.05895	1.0	1.0	14.0	1001	2000
	pp[13,2]	2.664	2.377	0.06057	2.0	2.0	14.0	1001	2000
	pp[13,3]	3.764	2.515	0.0535	3.0	3.0	15.0	1001	2000
	pp[13,4]	6.967	4.118	0.08195	4.0	5.0	15.0	1001	2000
	pp[13,5]	8.252	4.376	0.0987	3.0	7.0	15.0	1001	2000
	pp[13,6]	8.352	4.393	0.08322	3.0	7.0	15.0	1001	2000
	pp[13,7]	8.274	4.355	0.1023	3.0	7.0	15.0	1001	2000
	pp[13,8]	8.354	4.391	0.1053	3.0	7.0	15.0	1001	2000
	pp[13,9]	8.378	4.397	0.09716	2.0	7.0	15.0	1001	2000
	pp[13,10]	8.148	4.352	0.1152	3.0	6.0	15.0	1001	2000
	pp[13,11]	8.341	4.351	0.1088	3.0	7.0	15.0	1001	2000
	pp[13,12]	8.296	4.34	0.07918	3.0	7.0	15.0	1001	2000
	pp[13,13]	8.38	4.39	0.09929	3.0	7.0	15.0	1001	2000
	pp[13,14]	8.45	4.418	0.09936	3.0	7.0	15.0	1001	2000
	pp[13,15]	8.259	4.396	0.1082	3.0	6.0	15.0	1001	2000
	pp[14,1]	1.99	3.025	0.06427	1.0	1.0	15.0	1001	2000
	pp[14,2]	2.656	2.31	0.04632	2.0	2.0	13.0	1001	2000
	pp[14,3]	3.767	2.459	0.04713	3.0	3.0	15.0	1001	2000
	pp[14,4]	8.104	4.406	0.07628	3.0	6.0	15.0	1001	2000
	pp[14,5]	7.974	4.353	0.08019	3.0	6.0	15.0	1001	2000
	pp[14,6]	8.159	4.442	0.1256	3.0	6.0	15.0	1001	2000
	pp[14,7]	7.931	4.356	0.09276	4.0	6.0	15.0	1001	2000
	pp[14,8]	8.264	4.498	0.1105	3.0	6.0	15.0	1001	2000
	pp[14,9]	8.155	4.377	0.09138	4.0	6.0	15.0	1001	2000
	pp[14,10]	8.021	4.313	0.1083	3.0	6.0	15.0	1001	2000
	pp[14,11]	8.045	4.366	0.0976	3.0	6.0	15.0	1001	2000
	pp[14,12]	8.098	4.392	0.1016	3.0	6.0	15.0	1001	2000
	pp[14,13]	8.224	4.451	0.1046	3.0	6.0	15.0	1001	2000
	pp[14,14]	8.004	4.351	0.09009	3.0	6.0	15.0	1001	2000
	pp[14,15]	8.084	4.359	0.087	3.0	6.0	15.0	1001	2000
	pp[15,1]	1.97	2.918	0.06733	1.0	1.0	15.0	1001	2000
	pp[15,2]	2.784	2.591	0.05492	2.0	2.0	15.0	1001	2000
	pp[15,3]	4.109	2.961	0.05556	3.0	3.0	15.0	1001	2000
	pp[15,4]	8.018	4.399	0.1	3.0	6.0	15.0	1001	2000
	pp[15,5]	8.094	4.383	0.08065	3.0	6.0	15.0	1001	2000
	pp[15,6]	8.202	4.431	0.1064	3.0	6.0	15.0	1001	2000
	pp[15,7]	7.929	4.385	0.09089	3.0	6.0	15.0	1001	2000
